ISO_A3,country,Blindness,Moderate and severe vision impairment,Mild vision impairment,Vision impairment from uncorrected presbyopia
PER,Peru,5.96,45.6,35.2,47.2
AUS,Australia,1.48,20.3,11.6,6.62
CUB,Cuba,4.96,30.6,34.6,50.6
KAZ,Kazakhstan,4.07,36.7,25.8,65.4
DEU,Germany,1.69,21.7,13.7,57.1
MEX,Mexico,5.09,38.4,35.7,54.8
CAF,Central African Republic,4.86,29,38.3,82.8
CHN,China,4.66,27.8,34.1,73.8
RUS,Russian Federation,2.44,36.4,20.4,75.2
KEN,Kenya,10.7,32.5,34.9,95.2
JPN,Japan,1.45,17.7,33.4,4.57
USA,United States of America,1.24,16,11.3,7.94
EGY,Egypt,7,43.1,26.8,32.1
PNG,Papua New Guinea,5.54,49.3,36.5,59.1
IND,India,8.95,64.4,38.3,110
IDN,Indonesia,10,46.5,48,47.5
ARG,Argentina,1.93,28.1,17.5,5.78
ZAF,South Africa,8.24,23.9,35.8,150
BRA,Brazil,7.4,43.6,36.4,35.8
FRA,France,1.78,23.9,17.3,5.08
NGA,Nigeria,11.1,40.6,44,92.6
