country,Blindness,Moderate and severe vision impairment,Mild vision impairment,Vision impairment from uncorrected presbyopia
Peru,5·96 ,45·6,35·2,47·2
Australia,1·48 ,20·3,11·6,6·62
Cuba,4·96,30·6,34·6,50·6
Kazakhstan,4·07,36·7,25·8,65·4
Germany,1·69,21·7,13·7,57·1
Mexico,5·09,38·4,35·7,54·8
Central African Republic,4·86,29·0,38·3,82·8
China,4·66,27·8,34·1,73·8
Russian Federation,2·44,36·4,20·4,75·2
Kenya,10·7,32·5,34·9,95·2
Japan,1·45,17·7,33·4,4·57
United States of America,1·24,16·0,11·3,7·94
Egypt,7·00,43·1,26·8,32·1
Papua New Guinea,5·54,49·3,36·5,59·1
India,8·95,64·4,38·3,110
Indonesia,10·0,46·5,48·0,47·5
Argentina,1·93,28·1,17·5,5·78
South Africa,8·24,23·9,35·8,150
Brazil,7·40,43·6,36·4,35·8
France,1·78,23·9 ,17·3,5·08
Nigeria,11·1,40·6,44·0,92·6
