Year,Blindness,Moderate-severe,Mild,Near,gender
1990,32549,346236,203912,181635,total
2000,36825,419521,238137,225477,total
2010,46346,517905,293880,285622,total
2020,57115,630783,358293,282096,total
1990,18165,182280,115561,106804,female
2000,20656,223895,136421,131947,female
2010,25734,275876,167133,164868,female
2020,31193,334989,202274,162419,female
1990,14384,163956,88351,74831,male
2000,16169,195627,101716,93530,male
2010,20612,242029,126747,120754,male
2020,25922,295794,156019,119678,male
